Security_Code,ISIN,Security_Name
TATAELXSI,INE670A01012,TATA ELXSI LTD
LIQUIDETF,INF740KA1EU7,DSP Liquid ETF
CASH,null,CASH
HINDZINCNEW,INE267A01025,Hindustan Zinc Limited
INFOSYSTECH,INE009A01021,Infosys Ltd
RIL,INE002A01018,Reliance Industries Ltd
DIVISLAB,INE361B01024,Divis Laboratories Ltd
ASIANPAINTS,INE021A01026,Asian Paints Ltd
IEX,INE022Q01020,Indian Energy Exchange Ltd.
JUBLFOOD,INE797F01020,Jubilant Foodworks Limited
TCS,INE467B01029,Tata Consultancy Services Ltd
PIIND,INE603J01030,PI Industries Limited
METROBRAND,INE317I01021,Metro Brands Limited
BASF,INE373A01013,BASF India Ltd
TECHMAHINDRA,INE669C01036,Tech Mahindra Ltd
PFIZER,INE182A01018,PFIZER LIMIT
ASTRAL1,INE006I01046,Astral Ltd.
BSE,INE118H01025,BSE Limited
PETERENGLAND,INE647O01011,Aditya Birla Fashion and Retail Limited
TATAGLOBAL,INE192A01025,TATA Consumer Products Ltd
KMBANK,INE237A01036,Kotak Mahindra Bank Ltd
LATENTVIEW,INE0I7C01011,Latent View Analytics Ltd
HINDALCO,INE038A01020,Hindalco Industries Ltd
UNITEDSPIRITS,INE854D01024,United Spirits Ltd
GODREJCP,INE102D01028,Godrej Consumer Products Ltd
BPCL,INE029A01011,Bharat Petroleum Corporation Ltd
ICICIPRULI,INE726G01019,ICICI Prudential Life Insurance Company Ltd
LICI,INE0J1Y01017,Life Insurance Corporation Of India
ICICIGI,INE765G01017,ICICI Lombard General Insurance Company Ltd
SUPREMEIND,INE195A01028,Supreme Industries Limited
SAREGAMA,INE979A01025,Saregama India Limited
MMFIN,INE774D01024,Mahindra & Mahindra Financial Services Limited
MARUTI,INE585B01010,Maruti Suzuki India Ltd
ADITYABIRLA,INE674K01013,Aditya Birla Capital Ltd
MGL,INE002S01010,Mahanagar Gas Limited
PIDILITIND,INE318A01026,Pidilite Industries Ltd.
HUL,INE030A01027,Hindustan Unilever Ltd
ALKYLAMINE,INE150B01039,Alkyl Amines Chemicals Limited
DABUR,INE016A01026,Dabur India Ltd
HDFCBANK,INE040A01034,HDFC Bank Ltd
MUTHOOTFIN,INE414G01012,Muthoot Finance Limited
HDFCAMC,INE127D01025,HDFC Asset Management Company Limited
PRESTIGE,INE811K01011,PRESTIGE ESTATES PROJECTS LTD
CUB,INE491A01021,City Union Bank Limited
101884,INF732E01037,Nippon India ETF Nifty 1D Rate Liquid BeES
BAJAUTOFIN,INE296A01032,Bajaj Finance Ltd
LTI,INE214T01019,LTIMindtree Ltd
CDSL,INE736A01011,Central Depository Services India Limited
LTTS,INE010V01017,L and T Technology Services Limited
HCLTECH,INE860A01027,HCL Technologies Limited
HNGSNGBEES,INF204KB19I1,Nippon India ETF Hang Seng BeES
DMART,INE192R01011,AVENUE SUPERMARTS LIMITED
APLAPOLLO,INE702C01027,APL Apollo Tubes
FEDERALBNK,INE171A01029,Federal Bank Ltd
SBI,INE062A01020,State Bank of India
ALKEM,INE540L01014,Alkem Laboratories Ltd
106193,INF174KA1HJ8,Kotak Gold ETF
SIEMENS,INE003A01024,SIEMENS LTD
150440,INF966L01AT0,Quant Large Cap Fund-Growth Option-Direct Plan
UNIPHOS,INE628A01036,UPL Ltd
NMDC,INE584A01023,NMDC LTD
GLAND,INE068V01023,Gland Pharma Limited
AVANTIFEED,INE871C01038,Avanti Feeds Limited
BAJAJAUTO,INE917I01010,Bajaj Auto Ltd
AXISHCETF,INF846K01Z12,Axis NIFTY Healthcare ETF
UTIBANKETF,INF789F1AUV1,UTI Nifty Bank ETF
DSPNEWETF,INF740KA1QK2,DSP Nifty 50 Equal Weight ETF
ICICIBANKP,INF109KC18U7,ICICI Prudential Nifty Private Bank ETF
ICICITECH,INF109KC16I6,ICICI Prudential Nifty IT ETF
DSPQ50ETF,INF740KA1QL0,DSP Nifty Midcap 150 Quality 50 ETF
ICICINF100,INF109KC16V9,ICICI Prudential Nifty 100 ETF
AXISTECETF,INF846K01Y96,AXIS MUTUAL FUND-AXIS NIFTY IT ETF
ABSLNN50ET,INF209KB16D7,Aditya Birla Sun Life Nifty Next 50 ETF
MANXT50,INF769K01FN2,Mirae Asset Nifty Next 50 ETF
ICICIALPLV,INF109KC17V7,ICICI Prudential Nifty Alpha Low Volatility 30 ETF
ICICIFMCG,INF109KC19V3,ICICI Prudential Nifty FMCG ETF
ICDSLTD,INE613B01010,ICDS Ltd
AXIS,INE238A01034,Axis Bank Ltd
HDFCLIFE,INE795G01014,HDFC Standard Life Insurance Company Ltd
RECLTD,INE020B01018,REC Limited
GAIL,INE129A01019,GAIL India Ltd
HAVELLS,INE176B01034,Havells India Ltd
JISLDVREQS,IN9175A01010,Jain Irrigation Systems Limited-DVR
EMAMIINFRA,INE778K01012,Emami Realty Ltd
ICICI,INE090A01021,ICICI Bank Ltd
IPCALAB,INE571A01038,Ipca Laboratories Limited
JISLJALEQS,INE175A01038,Jain Irrigation Systems Limited
LSIL,INE093R01011,Lloyds Engineering Works Ltd
LT,INE018A01030,Larsen and Toubro Ltd
MRP,INE103A01014,MANGALORE REFINERY & PETROCHEMICALS LTD
NEPCMICON,INE588A01016,NEPC INDIA LTD.
NESTLEIND,INE239A01024,Nestle India Ltd
NOCIL,INE163A01018,NOCIL LTD.
NOVARTIND,INE234A01025,NOVARTIS INDIA LTD
ONGC,INE213A01029,Oil and Natural Gas Corporation Limited
PCS,INE834B01012,PCS Technology Ltd
PHILIPS,INE319A01016,PHILIPS INDIA LTD.
PHILIPSDOME,INE0FO801019,Philips Domestic Appliances India Ltd
RCOM,INE330H01018,RELIANCE COMMUNICATIONS L
ROLTA,INE293A01013,ROLTA INDIA LTD.
SIGNIFY,INE045U01015,Signify Innovations India Limited
TATAMOTORS,INE155A01022,Tata Motors Limited
TATASTEEL,INE081A01020,Tata Steel Ltd
TRENT,INE849A01020,Trent Ltd
ULTRATECH,INE481G01011,Ultratech Cement Ltd
UNIVERSALOFF,INE951C01012,Universal Office Automation Ltd
ZUARI,INE840M01016,ZUARI AGRO CHEMICALS LTD
ZUARIGLOB,INE217A01012,Zuari Industries Ltd
DCW,INE500A01029,DCW Ltd
ACC,INE012A01025,ACC Ltd
ADANIPOWER,INE814H01029,Adani Power Ltd
BOB,INE028A01039,Bank of Baroda
BOMDYEING,INE032A01023,Bombay Dyeing and Manufacturing Company Limited
CANBK,INE476A01022,Canara Bank
CENTENKA,INE485A01015,Century Enka Limited
CIPLA,INE059A01026,Cipla Ltd
EMAMILTD,INE548C01032,Emami Limited
112938,INF204K01FQ3,Nippon India Credit Risk Fund-Growth Plan
148258,INF204KB19P6,Nippon India Credit Risk Fund-Segregated Portfolio 2-Growth Plan
BRITANNIA,INE216A01030,Britannia Industries Ltd.
BRITANNIADEB,INE216A08027,BRITANNIA INDUSTRIES LIMITED - 5.5 NCD 03JU24 FVRS29
CADILAHC,INE010B01027,Zydus Lifesciences Limited
IBL,INE092T01019,IDFC First Bank Limited
INE733E07JW2,INE733E07JW2,NTPC LIMITED SR-3B 7.62 BD 05OT35 FVRS1000
RENUKA,INE087H01022,SHREE RENUKA SUGARS LTD
INE020B07JU4,INE020B07JU4,RURAL ELECTRIFICATION CORPORATION LTD
101161,INF204K01489,Nippon India Multi Cap Fund-Growth Plan-Growth Option
102594,INF109K01AF8,ICICI PRUDENTIAL DISCOVERY FUND-GROWTH OPTION
103340,INF109K01VQ1,ICICI Prudential Liquid Fund - Growth
103360,INF090I01569,Franklin India Smaller Companies Fund-Growth
105758,INF179K01CR2,HDFC MID-CAP OPPORTUNITIES FUND - GROWTH OPTION
108466,INF109K01BL4,ICICI PRUDENTIAL FOCUSED BLUECHIP EQUITY FUND - RETAIL GROWTH PLAN
111803,INF209K01603,Aditya Birla Sun Life Medium Term Plan-Growth-Regular Plan
112277,INF846K01164,Axis Bluechip Fund - Growth
INDIACEM,INE383A01012,INDIA CEMENTS LTD
TDSACCOUNT,null,Tax Deducted at Source
AMARAJABAT,INE885A01032,Amara Raja Energy & Mobility Limited
ICICIMOM30,INF109KC17C7,ICICI Prudential Nifty 200 Momentum 30 ETF
120676,INF109K01T04,ICICI Prudential Ultra Short Term Fund - Direct Plan - Growth
IRCTC,INE335Y01020,Indian Railway Catering And Tourism Corporation Limited
ISEC,INE763G01038,ICICI Securities Ltd
SHREECEM,INE070A01015,Shree Cement Limited
WIPRO,INE075A01022,WIPRO Ltd
REDINGTON,INE891D01026,Redington India Ltd.
NMDCSTEEL,INE0NNS01018,NMDC Steel Ltd
BHARTI,INE397D01024,Bharti Airtel Ltd
GRASIM,INE047A01021,Grasim Industries Ltd
PERSISTENT,INE262H01021,Persistent Systems Ltd
VIPIND,INE054A01027,VIP Industries Ltd
BAJAJFINSV,INE918I01026,BAJAJ FINSERV LTD
SUMICHEM,INE258G01013,Sumitomo Chemical India Limited
MPHASIS,INE356A01018,MPHASIS Ltd.
SOLARINDS,INE343H01029,SOLAR INDUSTRIES INDIA LTD
HFCL,INE548A01028,HFCL Limited
POWERGRID,INE752E01010,Power Grid Corporation Of India Limited
CASTROL,INE172A01027,CASTROL INDIA LTD
BHEL,INE257A01026,Bharat Heavy Electricals Ltd
CREDITACC,INE741K01010,CreditAccess Grameen Ltd
ITC,INE154A01025,ITC Ltd
COALINDIA,INE522F01014,Coal India Ltd.
SBICARD,INE018E01016,SBI Cards and Payment Services Limited
RELAXO,INE131B01039,Relaxo Footwears Limited
IRFC,INE053F01010,Indian Railway Finance Corporation Limited
NIFTYBEES,INF204KB14I2,Nippon India ETF Nifty 50 BeES
DLF,INE271C01023,DLF Limited
COLPAL,INE259A01022,COLGATE PALMOLIVE INDIA LTD
MAESGETF,INF769K01GS9,Mirae Asset Nifty 100 ESG Sector Leaders ETF
ICICIPHARM,INF109KC1Q72,ICICI Prudential Nifty Healthcare ETF
BHARATFORG,INE465A01025,BHARAT FORGE LTD
VINATIORGA,INE410B01037,VINATI ORGANICS LTD
SONACOMS,INE073K01018,Sona BLW Precision Forgings Ltd
DEEPAKNTR,INE288B01029,Deepak Nitrite Ltd
MAMFGETF,INF769K01IB1,Mirae Asset Nifty India Manufacturing ETF
149250,INF754K01NB3,Edelweiss Nifty 50 Index Fund Direct Plan Growth
148986,INF179KC1BG0,HDFC Banking & Financial Services Fund-Growth Option-Direct Plan
LALPATHLAB,INE600L01024,Dr Lal Pathlabs Ltd
GNFC,INE113A01013,Gujarat Narmada Valley Fertilizers and Chemicals Limited
GOODYEAR,INE533A01012,GOODYEAR INDIA LTD.
INTERDATAMGMT,INE649R01010,International Data Management Ltd
PNB,INE160A01022,Punjab National Bank
SCHNEIDER,INE839M01018,Schneider Electric Infrastructure Ltd
AREVATD,INE200A01026,GE Vernova T&D India Ltd
149894,INF846K013H3,Axis Nifty Smallcap 50 Index Fund-Direct Plan-Growth Option
FORTIS,INE061F01013,FORTIS HEALTHCARE INDIA LIMITED
TATACHEM,INE092A01019,TATA CHEMICALS LTD.
SBILIFE,INE123W01016,SBI Life Insurance Company Limited
141877,INF740KA1CR7,DSP Nifty 50 Equal Weight Index Fund-Direct Plan-Growth
150428,INF740KA1RB9,DSP Nifty Midcap 150 Quality 50 Index Fund-Direct-Growth
148703,INF789F1AUT5,UTI Nifty 200 Momentum 30 Index Fund - Direct Plan - Growth Option
FAGBEARING,INE513A01022,Schaeffler India Ltd
INFRATEL,INE121J01017,Indus Towers Ltd
NTPC,INE733E01010,NTPC LTD
OBEROIRLTY,INE093I01010,OBEROI REALTY LIMITED
BALAMINES,INE050E01027,Balaji Amines Ltd
DSPGOLDETF,INF740KA1SW3,DSP Gold ETF
133054,INF109KA11J9,ICICI Prudential Equity Savings Fund - Direct - Growth
143247,INF109KC1V59,ICICI Prudential BSE 500 ETF
GUJGASLTD,INE844O01030,Gujarat Gas Limited
VOLTAS,INE226A01021,Voltas Limited
MAFSETF,INF769K01HI8,Mirae Asset Nifty Financial Services ETF
MID150BEES,INF204KB1V68,Nippon India ETF Nifty Midcap 150
147921,INF109KC11W8,ICICI Prudential Nifty Midcap 150 ETF
MOMOMENTUM,INF247L01BK2,Motilal Oswal Mutual Fund - Motilal Oswal Nifty 200 Momentum 30 ETF
OTHERINCOME,null,Other Income
120685,INF109K01U92,ICICI Prudential Regular Gold Savings Fund FOF - Direct Plan - Growth
149790,INF769K01HZ2,Mirae Asset Nifty India Manufacturing ETF FOF-Direct Plan-Growth
ICICIGOLD,INF109KC1NT3,ICICI Prudential Gold ETF
COROMANDEL,INE169A01031,Coromandel International Ltd
BIKAJI,INE00E101023,Bikaji Foods International Ltd
KPIT,INE836A01035,Birlasoft Ltd
150468,INF109KC13E2,ICICI Prudential Nifty IT Index Fund-Direct Plan-Growth
HEROHONDA,INE158A01026,Hero Motocorp Ltd
PETRONET,INE347G01014,Petronet LNG Limited
VBL,INE200M01039,Varun Beverages Ltd
PAGEIND,INE761H01022,Page Industries Limited
BERGEPAINT,INE463A01038,Berger Paints India Limited
HDFC,INE001A01036,Housing Development Finance Corporation Ltd
TATAMTRDVR,IN9155A01020,Tata Motors Ltd-DVR
NAHARSPING,INE290A01027,Nahar Spinning Mills Limited
NAHARCAP,INE049I01012,Nahar Capital and Financial Services Ltd
JSWSTEEL,INE019A01038,JSW Steel Limited
GLAXO,INE159A01016,GlaxoSmithKline Pharmaceuticals Ltd
FMGOETZE,INE529A01010,FEDERAL-MOGUL GOETZE LTD.
BLISSGVS,INE416D01022,Bliss GVS Pharma Ltd
LUMAXIND,INE162B01018,LUMAX INDUSTRIES LTD
UNIONBANK,INE692A01016,Union Bank Of India
TCFC,INE389D01013,TCFC Finance Ltd
INE547G01019,null,LUMAX AUTOMOTIVE SYSTEMS LTD
CPSEETF,INF457M01133,GOLDMAN SACHS CPSE ETF
151785,INF846K017R3,Axis Nifty IT Index Fund - Direct Plan - Growth
150452,INF109KC11D8,ICICI Prudential Nifty 200 Momentum 30 Index Fund - Direct Plan - Growth
FINEORG,INE686Y01026,Fine Organic Industries Limited
AMBUJACEM,INE079A01024,Ambuja Cements Ltd
149389,INF109KC1W58,ICICI Prudential Nifty Midcap 150 Index Fund - Direct Plan - Growth
TIMKEN,INE325A01013,TIMKEN INDIA LTD.
NAVINFLUOR,INE048G01026,Navin Fluorine International Limited
OIL,INE274J01014,Oil India Limited
M100,INF247L01023,Motilal Oswal Nifty Midcap 100 ETF
ICICINV20,INF109KC11V0,ICICI Prudential Nifty50 Value 20 ETF
MAHKTECH,INF769K01HS7,Mirae Asset Hang Seng TECH ETF
SUNPHARMA,INE044A01036,SUN PHARMACEUTICAL INDUSTRIES LTD
ZOMATO,INE758T01015,Eternal Ltd
TATAPOWER,INE245A01021,Tata Power Company Ltd
IOC,INE242A01010,INDIAN OIL CORPORATION LTD
GODREJPROP,INE484J01027,Godrej Properties Limited
INDHOTEL,INE053A01029,INDIAN HOTELS COMPANY LIMITED
GRINDWELL,INE536A01023,Grindwell Norton Ltd
SRF,INE647A01010,SRF LTD
EICHERMOT,INE066A01021,Eicher Motors Ltd
SASKEN,INE231F01020,SASKEN COMMUNICATION TECHNOLOGIES LTD
152067,INF966L01CT6,Quant Teck Fund - Growth Option - Direct Plan
HAPPSTMNDS,INE419U01012,Happiest Minds Technologies Limited
TORNTPOWER,INE813H01021,Torrent Power Limited
RAYMOND,INE301A01014,Raymond Ltd
PREMIER,INE342A01018,PREMIER LTD
MCDHOLDING,INE836H01014,MCDOWELL HOLDINGS LTD.
MAXIND,INE0CG601016,Max India Ltd
MAX,INE180A01020,Max Financial Services Limited
HINDCOMPOS,INE310C01029,Hindustan Composites Limited
GUJALKALI,INE186A01019,Gujarat Alkalies & Chemicals Ltd
ARVINFRA,INE034S01021,Arvind SmartSpaces Limited
ARVIND,INE034A01011,Arvind Ltd
AKZOINDIA,INE133A01011,Akzo Nobel India Limited
ANVESHAN,INE294Z01018,Anup Engineering Ltd The
ARVINDFASHION,INE955V01021,Arvind Fashion Ltd.
MAXHEALTH,INE027H01010,Max Healthcare Institute Limited
BARODARAYON,INE461A01024,Baroda Rayon Corporation Limited
PFC,INE134E01011,Power Finance Corporation Limited
RSIL,INE758E01017,Jio Financial Services Ltd
SUZLON,INE040H01021,Suzlon Energy Ltd
DELTACORP,INE124G01033,Delta Corp Limited
HPCL,INE094A01015,Hindustan Petroleum Corporation Ltd
IDFC,INE043D01016,IDFC Ltd
ADIRASAY,INE861N01036,Genpharmasec Limited
UJJIVANSFB,INE551W01018,Ujjivan Small Finance Bank Ltd
146381,INF740KA1MG9,DSP Nifty Next 50 Index Fund - Direct - Growth
EIDPARRY,INE126A01031,EID-Parry India Limited
CRISIL,INE007A01025,CRISIL LTD.
BAJAJTEMPO,INE451A01017,Force Motors Ltd
MM,INE101A01026,Mahindra and Mahindra Ltd
INDIGO,INE646L01027,InterGlobe Aviation Limited
NYKAA,INE388Y01029,FSN E-Commerce Ventures Limited
NAUKRI,INE663F01032,Info Edge India Ltd
MARICO,INE196A01026,Marico Limited
MUNDRAPORT,INE742F01042,Adani Ports and Special Economic Zone Limited
DEEPAKFERT,INE501A01019,Deepak Fertilizers and Petrochemicals Corporation Ltd
ASTEC,INE563J01010,Astec LifeSciences Ltd
RPOWER,INE614G01033,Reliance Power Ltd
RELINFRA,INE036A01016,Reliance Infrastructure Ltd
RELIANCEHOME,INE217K01011,Reliance Home Finance Ltd
RELCAPITAL,INE013A01015,Reliance Capital Ltd
NHPC,INE848E01016,NHPC Ltd
135813,INF277K015B9,Tata Resources & Energy Fund - Direct - Growth
152039,INF174KA1OX5,Kotak S&P BSE Housing Index Fund - Direct Plan - Growth Option
AIAENG,INE212H01026,AIA ENGINEERING LTD
IGL,INE203G01027,Indraprastha Gas Limited
ASHOKLEY,INE208A01029,ASHOK LEYLAND LTD
ESSARSHPNG,INE122M01019,Essar Shipping Ltd
BIRLACORPN,INE340A01012,Birla Corporation Ltd
DSPSILVETF,INF740KA1RE3,DSP Silver ETF
KPRMILL,INE930H01031,K.P.R. Mill Ltd
MAZDOCK,INE249Z01020,Mazagon Dock Shipbuilders Ltd
BAJAJHLDNG,INE118A01012,BAJAJ HOLDINGS and INVESTMENT LTD
BAYERCROP,INE462A01022,Bayer Cropscience Ltd
CENTURYTEX,INE055A01016,Aditya Birla Real Estate Ltd
DRREDDYS,INE089A01031,Dr ReddyS Laboratories Ltd
EIHOTEL,INE230A01023,EIH LIMITED
GESHIP,INE017A01032,The Great Eastern Shipping Company Limited
GLENMARK,INE935A01035,Glenmark Pharma Ltd
GODREJIND,INE233A01035,Godrej Industries Limited
HEMIPROP,INE0AJG01018,Hemisphere Properties India Ltd
JINDALSTEEL,INE749A01030,Jindal Steel & Power Limited
MAHLIFE,INE813A01018,Mahindra Lifespace Developers Ltd
ORACLEFSS,INE881D01027,Oracle Financial Services Software Ltd
PGHH,INE179A01014,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD
PTC,INE877F01012,PTC India Ltd
QUESS,INE615P01015,Quess Corp Ltd
SESAGOA,INE205A01025,Vedanta Limited
SFHL,INE202Z01029,Sundaram Finance Holdings Limited
SUNDARMFIN,INE660A01013,Sundaram Finance Limited
TATACOM,INE151A01013,Tata Communications Ltd
THERMAX,INE152A01029,THERMAX LTD
TITAN,INE280A01028,TITAN COMPANY LIMITED
UBL,INE686F01025,UNITED BREWERIES LTD
WOCKHARDT,INE049B01025,Wockhardt Ltd
105463,INF789F1AUX7,UTI GOLD EXCHANGE TRADED FUND
ABB,INE117A01022,ABB India Ltd
ABBPOWER,INE07Y701011,Hitachi Energy India Limited
ADANIENT,INE423A01024,Adani Enterprises Limited
ADANIGREEN,INE364U01010,Adani Green Energy Limited
ADANITRANS,INE931S01010,Adani Energy Solutions Limited
AGL,INE399L01023,Adani Total Gas Limited
CAMS,INE596I01020,Computer Age Management Services Limited
HINDCOPPER,INE531E01026,Hindustan Copper Limited
KNRCON,INE634I01029,KNR CONSTRUCTIONS LIMITED
SAIL,INE114A01011,STEEL AUTHORITY OF INDIA
SFL,INE916U01025,Sheela Foam Limited
LXCHEM,INE576O01020,LAXMI ORGANIC INDUSTRIES LIMITED
AARTIIND,INE769A01020,Aarti Industries Ltd
PAYTM,INE982J01020,One 97 Communications Limited
DATAPATTNS,INE0IX101010,Data Patterns INDIA Limited
CHOLAFIN,INE121A01024,Cholamandalam Investment and Finance Company Ltd
FINCABLES,INE235A01022,Finolex Cables Limited
GODREJAGRO,INE850D01014,Godrej Agrovet Limited
BOSCHLTD,INE323A01026,BOSCH Ltd
AUBANK,INE949L01017,AU Small Finance Bank Ltd
OLECTRA,INE260D01016,Olectra Greentech Limited
ACI,INE128X01021,Archean Chemical Industries Ltd
ALLCARGO,INE418H01029,Allcargo Logistics Limited
KRBL,INE001B01026,KRBL Ltd
118837,INF769K01BL5,Mirae Asset Great Consumer Fund - Direct - Growth
ABBOTINDIA,INE358A01014,Abbott India Ltd
CARBORUNIV,INE120A01034,CARBORUNDUM UNIVERSAL LTD
SUNDRMFAST,INE387A01021,Sundram Fasteners Limited
WHIRLPOOL,INE716A01013,Whirlpool Of India Ltd
149787,INF769K01HY5,Mirae Asset Nifty India Manufacturing ETF FOF - Direct Plan- IDCW
CLEAN,INE227W01023,Clean Science and Technology Ltd
ZYDUSWELL,INE768C01028,Zydus Wellness Ltd
152243,INF740KA1TW1,DSP Nifty Smallcap250 Quality 50 Index Fund-Direct-Growth
BATAINDIA,INE176A01028,Bata India Ltd
GMDCLTD,INE131A01031,Gujarat Mineral Development Corporation Limited
APOLLOHOSP,INE437A01024,APOLLO HOSPITALS ENTERPRISES LTD
AWL,INE699H01024,AWL Agri Business Ltd
SRTRANSFIN,INE721A01047,Shriram Finance Ltd
BEL,INE263A01024,Bharat Electronics Ltd
TVSMOTOR,INE494B01023,TVS Motor Company Ltd
HAL,INE066F01020,Hindustan Aeronautics Limited
INDUSINDBK,INE095A01012,IndusInd Bank Limited
UTIAMC,INE094J01016,UTI Asset Management Company Ltd
120492,INF192K01CC7,JM Flexicap Fund - Direct - Growth
CONCOR,INE111A01025,Container Corporation of India Limited
VTL,INE825A01020,Vardhman Textiles Ltd
SUMMITSEC,INE519C01017,SUMMIT SECURITIES LTD
SKFINDIA,INE640A01023,SKF India Limited
SITICABLE,INE965H01011,Siti Networks Ltd
PENINLAND,INE138A01028,Peninsula Land Ltd
MEGASOFT,INE933B01012,Megasoft Ltd
KAYA,INE587G01015,Kaya Ltd
JPPOWER,INE351F01018,Jaiprakash Power Ventures Ltd
IBN18,INE886H01027,TV18 Broadcast Ltd
HEXATRADEX,INE750M01017,Hexa Tradex Ltd
CENTURYPLY,INE348B01021,Century Plyboards India Limited
DNAMEDIA,INE016M01021,Diligent Media Corporation Ltd
GTLINFRA,INE221H01019,GTL Infrastructure Ltd
TINPLATE,INE422C01014,Tinplate Company of India Ltd
GMMPFAUDLER,INE541A01023,GMM Pfaudler Limited
AEGISCHEM,INE208C01025,Aegis Logistics Ltd
JUSTDIAL,INE599M01018,Just Dial Ltd
CHAMBLFERT,INE085A01013,Chambal Fertilizers and Chemicals Ltd
MIDHANI,INE099Z01011,Mishra Dhatu Nigam Limited
INF0R8F01018,INF0R8F01018,Zerodha Nifty LargeMidcap 250 Index Fund - Direct Plan - Growth option
149858,INF109KC11A4,ICICI Prudential Nifty Bank Index Fund - Direct Plan Growth
151791,INF966L01BX0,Quant BFSI Fund - Growth Option - Direct Plan
122639,INF879O01027,Parag Parikh Flexi Cap Fund - Direct - Growth
102756,INF200K01370,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH
119775,INF174K01LT0,Kotak Emerging Equity Scheme - Growth - Direct
150539,INF109KC12I5,ICICI Prudential PSU Equity Fund - Direct Plan - Growth
118989,INF179K01XQ0,HDFC MID CAP OPPORTUNITIES FUND -DIRECT PLAN - GROWTH OPTION
130503,INF179KA1RW5,HDFC Small Cap Fund - Direct Growth Plan
MOTHERSUMI,INE775A01035,Samvardhana Motherson International Limited
NATIONALUM,INE139A01034,NATIONAL ALUMINIUM COMPANY LTD
TORNTPHARM,INE685A01028,TORRENT PHARMACEUTICALS LIMITED
151911,INF174KA1OR7,Kotak Nifty Financial Services Ex-Bank Index Fund - Direct Plan - Growth
ALMONDZ,INE326B01035,Almondz Global Securities Ltd
UNITECH,INE694A01020,UNITECH LTD
APOLLOTYRE,INE438A01022,Apollo Tyres Limited
BOC,INE473A01011,Linde India Ltd
JBCHEPHARM,INE572A01036,JB Chemicals & Pharmaceuticals Limited
KEC,INE389H01022,KEC International Limited
RCF,INE027A01015,Rashtriya Chemicals and Fertilizers Limited
BAJAJHIND,INE306A01021,BAJAJ HINDUSTHAN SUGAR LTD
119727,INF200K01RJ1,SBI Focused Equity Fund - Direct - Growth
119028,INF740K01QA7,DSP Natural Resources and New Energy Fund - Direct Plan - Growth
MEDHEASP,INE804L01022,MedPlus Health Services Limited
HEG,INE545A01024,HEG Ltd
NCC,INE868B01028,NCC Ltd
CCL,INE421D01022,CCL PRODUCTS INDIA LTD.
TATATECH,INE142M01025,Tata Technologies Ltd
MANS2MQ1E_SC,INF769K01LC3,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF
ORIENTCONT,INE730A01022,Oricon Enterprises Limited
RAIN,INE855B01025,Rain Industries Limited
